"anio";"jurisdiccion_de_residencia_id";"jurisdicion_residencia_nombre";"edad_madre_grupo";"instruccion_madre";"tipo_de_parto_id";"tipo_de_parto_nombre";"semana_gestacion";"intervalo_peso_al_nacer";"sexo_id";"Sexo";"nacimientos_cantidad"
2023;78;"Santa Cruz";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"4.28 a 31";"3.1000 a 1499";2;"femenino";1
2023;78;"Santa Cruz";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";7
2023;78;"Santa Cruz";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";11
2023;66;"Salta";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";1
2023;66;"Salta";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";5
2023;58;"Neuquén";"7.40 a 44";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";9
2023;66;"Salta";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";25
2023;58;"Neuquén";"7.40 a 44";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";23
2023;62;"Río Negro";"7.40 a 44";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";8
2023;66;"Salta";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"8.Sin especificar";"7.3000 a 3499";2;"femenino";2
2023;66;"Salta";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"4.28 a 31";"3.1000 a 1499";2;"femenino";1
2023;66;"Salta";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"4.28 a 31";"6.2500 a 2999";2;"femenino";1
2023;66;"Salta";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"4.28 a 31";"7.3000 a 3499";2;"femenino";1
2023;78;"Santa Cruz";"5.30 a 34";"7.Terciaria/Universitaria Completa";1;"Simple";"5.32 a 36";"3.1000 a 1499";2;"femenino";1
2023;58;"Neuquén";"8.De 45 y más";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";2
2023;66;"Salta";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"6.2500 a 2999";2;"femenino";11
2023;74;"San Luis";"5.30 a 34";"7.Terciaria/Universitaria Completa";1;"Simple";"5.32 a 36";"6.2500 a 2999";2;"femenino";5
